Y(0) Z(0)
0.00 0.00
0.02 0.00
0.04 0.00
0.04 0.02
0.04 0.04
0.06 0.00
0.06 0.02
0.06 0.04
0.06 0.06
0.08 0.00
0.08 0.02
0.08 0.04
0.08 0.06
0.08 0.08
0.08 0.10
0.10 0.00
0.10 0.02
0.10 0.04
0.10 0.06
0.10 0.08
0.10 0.10
0.10 0.12
0.12 0.00
0.12 0.02
0.12 0.04
0.12 0.06
0.12 0.08
0.12 0.10
0.12 0.12
0.12 0.14
0.12 0.16
0.14 0.00
0.14 0.02
0.14 0.04
0.14 0.06
0.14 0.08
0.14 0.10
0.14 0.12
0.14 0.14
0.14 0.16
0.14 0.18
0.14 0.20
0.16 0.00
0.16 0.02
0.16 0.04
0.16 0.06
0.16 0.08
0.16 0.10
0.16 0.12
0.16 0.14
0.16 0.16
0.16 0.18
0.16 0.20
0.16 0.22
0.16 0.24
0.18 0.00
0.18 0.02
0.18 0.04
0.18 0.06
0.18 0.08
0.18 0.10
0.18 0.12
0.18 0.14
0.18 0.16
0.18 0.18
0.18 0.20
0.18 0.22
0.18 0.24
0.18 0.26
0.18 0.28
0.20 0.00
0.20 0.02
0.20 0.04
0.20 0.06
0.20 0.08
0.20 0.10
0.20 0.12
0.20 0.14
0.20 0.16
0.20 0.18
0.20 0.20
0.20 0.22
0.20 0.24
0.20 0.26
0.20 0.28
0.20 0.30
0.20 0.32
0.20 0.34
0.22 0.00
0.22 0.02
0.22 0.04
0.22 0.06
0.22 0.08
0.22 0.10
0.22 0.12
0.22 0.14
0.22 0.16
0.22 0.18
0.22 0.20
0.22 0.22
0.22 0.24
0.22 0.26
0.22 0.28
0.22 0.30
0.22 0.32
0.22 0.34
0.22 0.36
0.22 0.38
0.24 0.00
0.24 0.02
0.24 0.04
0.24 0.06
0.24 0.08
0.24 0.10
0.24 0.12
0.24 0.14
0.24 0.16
0.24 0.18
0.24 0.20
0.24 0.22
0.24 0.24
0.24 0.26
0.24 0.28
0.24 0.30
0.24 0.32
0.24 0.34
0.24 0.36
0.24 0.38
0.24 0.40
0.24 0.42
0.26 0.00
0.26 0.02
0.26 0.04
0.26 0.06
0.26 0.08
0.26 0.10
0.26 0.12
0.26 0.14
0.26 0.16
0.26 0.18
0.26 0.20
0.26 0.22
0.26 0.24
0.26 0.26
0.26 0.28
0.26 0.30
0.26 0.32
0.26 0.34
0.26 0.36
0.26 0.38
0.26 0.40
0.26 0.42
0.26 0.44
0.26 0.46
0.28 0.00
0.28 0.02
0.28 0.04
0.28 0.06
0.28 0.08
0.28 0.10
0.28 0.12
0.28 0.14
0.28 0.16
0.28 0.18
0.28 0.20
0.28 0.22
0.28 0.24
0.28 0.26
0.28 0.28
0.28 0.30
0.28 0.32
0.28 0.34
0.28 0.36
0.28 0.38
0.28 0.40
0.28 0.42
0.28 0.44
0.28 0.46
0.28 0.48
0.28 0.50
0.28 0.52
0.30 0.00
0.30 0.02
0.30 0.04
0.30 0.06
0.30 0.08
0.30 0.10
0.30 0.12
0.30 0.14
0.30 0.16
0.30 0.18
0.30 0.20
0.30 0.22
0.30 0.24
0.30 0.26
0.30 0.28
0.30 0.30
0.30 0.32
0.30 0.34
0.30 0.36
0.30 0.38
0.30 0.40
0.30 0.42
0.30 0.44
0.30 0.46
0.30 0.48
0.30 0.50
0.30 0.52
0.30 0.54
0.30 0.56
0.32 0.00
0.32 0.02
0.32 0.04
0.32 0.06
0.32 0.08
0.32 0.10
0.32 0.12
0.32 0.14
0.32 0.16
0.32 0.18
0.32 0.20
0.32 0.22
0.32 0.24
0.32 0.26
0.32 0.28
0.32 0.30
0.32 0.32
0.32 0.34
0.32 0.36
0.32 0.38
0.32 0.40
0.32 0.42
0.32 0.44
0.32 0.46
0.32 0.48
0.32 0.50
0.32 0.52
0.32 0.54
0.32 0.56
0.32 0.58
0.32 0.60
0.32 0.62
0.34 0.00
0.34 0.02
0.34 0.04
0.34 0.06
0.34 0.08
0.34 0.10
0.34 0.12
0.34 0.14
0.34 0.16
0.34 0.18
0.34 0.20
0.34 0.22
0.34 0.24
0.34 0.26
0.34 0.28
0.34 0.30
0.34 0.32
0.34 0.34
0.34 0.36
0.34 0.38
0.34 0.40
0.34 0.42
0.34 0.44
0.34 0.46
0.34 0.48
0.34 0.50
0.34 0.52
0.34 0.54
0.34 0.56
