Y(0) Z(0)
0.00 0.02
0.00 0.04
0.00 0.06
0.00 0.08
0.00 0.10
0.00 0.12
0.00 0.14
0.00 0.16
0.00 0.18
0.00 0.20
0.00 0.22
0.00 0.24
0.00 0.26
0.00 0.28
0.00 0.30
0.00 0.32
0.00 0.34
0.00 0.36
0.00 0.38
0.00 0.40
0.00 0.42
0.00 0.44
0.00 0.46
0.00 0.48
0.00 0.50
0.00 0.52
0.00 0.54
0.00 0.56
0.00 0.58
0.00 0.60
0.00 0.62
0.00 0.64
0.00 0.66
0.00 0.68
0.00 0.70
0.00 0.72
0.00 0.74
0.00 0.76
0.00 0.78
0.00 0.80
0.00 0.82
0.00 0.84
0.00 0.86
0.00 0.88
0.00 0.90
0.00 0.92
0.00 0.94
0.00 0.96
0.00 0.98
0.00 1.00
0.02 0.02
0.02 0.04
0.02 0.06
0.02 0.08
0.02 0.10
0.02 0.12
0.02 0.14
0.02 0.16
0.02 0.18
0.02 0.20
0.02 0.22
0.02 0.24
0.02 0.26
0.02 0.28
0.02 0.30
0.02 0.32
0.02 0.34
0.02 0.36
0.02 0.38
0.02 0.40
0.02 0.42
0.02 0.44
0.02 0.46
0.02 0.48
0.02 0.50
0.02 0.52
0.02 0.54
0.02 0.56
0.02 0.58
0.02 0.60
0.02 0.62
0.02 0.64
0.02 0.66
0.02 0.68
0.02 0.70
0.02 0.72
0.02 0.74
0.02 0.76
0.02 0.78
0.02 0.80
0.02 0.82
0.02 0.84
0.02 0.86
0.02 0.88
0.02 0.90
0.02 0.92
0.02 0.94
0.02 0.96
0.02 0.98
0.04 0.06
0.04 0.08
0.04 0.10
0.04 0.12
0.04 0.14
0.04 0.16
0.04 0.18
0.04 0.20
0.04 0.22
0.04 0.24
0.04 0.26
0.04 0.28
0.04 0.30
0.04 0.32
0.04 0.34
0.04 0.36
0.04 0.38
0.04 0.40
0.04 0.42
0.04 0.44
0.04 0.46
0.04 0.48
0.04 0.50
0.04 0.52
0.04 0.54
0.04 0.56
0.04 0.58
0.04 0.60
0.04 0.62
0.04 0.64
0.04 0.66
0.04 0.68
0.04 0.70
0.04 0.72
0.04 0.74
0.04 0.76
0.04 0.78
0.04 0.80
0.04 0.82
0.04 0.84
0.04 0.86
0.04 0.88
0.04 0.90
0.04 0.92
0.04 0.94
0.04 0.96
0.06 0.08
0.06 0.10
0.06 0.12
0.06 0.14
0.06 0.16
0.06 0.18
0.06 0.20
0.06 0.22
0.06 0.24
0.06 0.26
0.06 0.28
0.06 0.30
0.06 0.32
0.06 0.34
0.06 0.36
0.06 0.38
0.06 0.40
0.06 0.42
0.06 0.44
0.06 0.46
0.06 0.48
0.06 0.50
0.06 0.52
0.06 0.54
0.06 0.56
0.06 0.58
0.06 0.60
0.06 0.62
0.06 0.64
0.06 0.66
0.06 0.68
0.06 0.70
0.06 0.72
0.06 0.74
0.06 0.76
0.06 0.78
0.06 0.80
0.06 0.82
0.06 0.84
0.06 0.86
0.06 0.88
0.06 0.90
0.06 0.92
0.06 0.94
0.08 0.12
0.08 0.14
0.08 0.16
0.08 0.18
0.08 0.20
0.08 0.22
0.08 0.24
0.08 0.26
0.08 0.28
0.08 0.30
0.08 0.32
0.08 0.34
0.08 0.36
0.08 0.38
0.08 0.40
0.08 0.42
0.08 0.44
0.08 0.46
0.08 0.48
0.08 0.50
0.08 0.52
0.08 0.54
0.08 0.56
0.08 0.58
0.08 0.60
0.08 0.62
0.08 0.64
0.08 0.66
0.08 0.68
0.08 0.70
0.08 0.72
0.08 0.74
0.08 0.76
0.08 0.78
0.08 0.80
0.08 0.82
0.08 0.84
0.08 0.86
0.08 0.88
0.08 0.90
0.08 0.92
0.10 0.14
0.10 0.16
0.10 0.18
0.10 0.20
0.10 0.22
0.10 0.24
0.10 0.26
0.10 0.28
0.10 0.30
0.10 0.32
0.10 0.34
0.10 0.36
0.10 0.38
0.10 0.40
0.10 0.42
0.10 0.44
0.10 0.46
0.10 0.48
0.10 0.50
0.10 0.52
0.10 0.54
0.10 0.56
0.10 0.58
0.10 0.60
0.10 0.62
0.10 0.64
0.10 0.66
0.10 0.68
0.10 0.70
0.10 0.72
0.10 0.74
0.10 0.76
0.10 0.78
0.10 0.80
0.10 0.82
0.10 0.84
0.10 0.86
0.10 0.88
0.10 0.90
0.12 0.18
0.12 0.20
0.12 0.22
0.12 0.24
0.12 0.26
0.12 0.28
0.12 0.30
0.12 0.32
0.12 0.34
0.12 0.36
0.12 0.38
0.12 0.40
0.12 0.42
0.12 0.44
0.12 0.46
0.12 0.48
0.12 0.50
0.12 0.52
0.12 0.54
0.12 0.56
0.12 0.58
0.12 0.60
0.12 0.62
0.12 0.64
0.12 0.66
0.12 0.68
0.12 0.70
0.12 0.72
0.12 0.74
0.12 0.76
0.12 0.78
0.12 0.80
0.12 0.82
0.12 0.84
0.12 0.86
0.12 0.88
0.14 0.22
0.14 0.24
0.14 0.26
0.14 0.28
0.14 0.30
0.14 0.32
0.14 0.34
0.14 0.36
0.14 0.38
0.14 0.40
0.14 0.42
0.14 0.44
0.14 0.46
0.14 0.48
0.14 0.50
0.14 0.52
0.14 0.54
0.14 0.56
0.14 0.58
0.14 0.60
0.14 0.62
0.14 0.64
0.14 0.66
0.14 0.68
0.14 0.70
0.14 0.72
0.14 0.74
0.14 0.76
0.14 0.78
0.14 0.80
0.14 0.82
0.14 0.84
0.14 0.86
0.16 0.26
0.16 0.28
0.16 0.30
0.16 0.32
0.16 0.34
0.16 0.36
0.16 0.38
0.16 0.40
0.16 0.42
0.16 0.44
0.16 0.46
0.16 0.48
0.16 0.50
0.16 0.52
0.16 0.54
0.16 0.56
0.16 0.58
0.16 0.60
0.16 0.62
0.16 0.64
0.16 0.66
0.16 0.68
0.16 0.70
0.16 0.72
0.16 0.74
0.16 0.76
0.16 0.78
0.16 0.80
0.16 0.82
0.16 0.84
0.18 0.30
0.18 0.32
0.18 0.34
0.18 0.36
0.18 0.38
0.18 0.40
0.18 0.42
0.18 0.44
0.18 0.46
0.18 0.48
0.18 0.50
0.18 0.52
0.18 0.54
0.18 0.56
0.18 0.58
0.18 0.60
0.18 0.62
0.18 0.64
0.18 0.66
0.18 0.68
0.18 0.70
0.18 0.72
0.18 0.74
0.18 0.76
0.18 0.78
0.18 0.80
0.18 0.82
0.20 0.36
0.20 0.38
0.20 0.40
0.20 0.42
0.20 0.44
0.20 0.46
0.20 0.48
0.20 0.50
0.20 0.52
0.20 0.54
0.20 0.56
0.20 0.58
0.20 0.60
0.20 0.62
0.20 0.64
0.20 0.66
0.20 0.68
0.20 0.70
0.20 0.72
0.20 0.74
0.20 0.76
0.20 0.78
0.20 0.80
0.22 0.40
0.22 0.42
0.22 0.44
0.22 0.46
0.22 0.48
0.22 0.50
0.22 0.52
0.22 0.54
0.22 0.56
0.22 0.58
0.22 0.60
0.22 0.62
0.22 0.64
0.22 0.66
0.22 0.68
0.22 0.70
0.22 0.72
0.22 0.74
0.22 0.76
0.22 0.78
0.24 0.44
0.24 0.46
0.24 0.48
0.24 0.50
0.24 0.52
0.24 0.54
0.24 0.56
0.24 0.58
0.24 0.60
0.24 0.62
0.24 0.64
0.24 0.66
0.24 0.68
0.24 0.70
0.24 0.72
0.24 0.74
0.24 0.76
0.26 0.48
0.26 0.50
0.26 0.52
0.26 0.54
0.26 0.56
0.26 0.58
0.26 0.60
0.26 0.62
0.26 0.64
0.26 0.66
0.26 0.68
0.26 0.70
0.26 0.72
0.26 0.74
0.28 0.54
0.28 0.56
0.28 0.58
0.28 0.60
0.28 0.62
0.28 0.64
0.28 0.66
0.28 0.68
0.28 0.70
0.28 0.72
0.30 0.58
0.30 0.60
0.30 0.62
0.30 0.64
0.30 0.66
0.30 0.68
0.30 0.70
0.32 0.64
0.32 0.66
